,Casual DateLine,Fonochat,LiveLinks,TangoPersonals,Vibeline,totalrev,gay
2010-01-01,389592.6586774557,336887.1728496998,1808110.387239725,265878.85033785447,263300.3253478115,3899740.5618742933,872254.7989987889
2010-02-01,367421.34970968944,337803.6551958587,1803593.0347134224,267986.08927850134,284563.67566258746,3862793.252619773,822392.6558358452
2010-03-01,406424.03693242284,395295.845674237,1978040.584815008,295103.72239164263,305102.67226315493,4262112.183522228,904471.5191228386
2010-04-01,392204.11288696976,383883.00884562527,1871468.8067872669,276539.689580368,280558.3667317589,4043389.14227124,859812.1241312468
2010-05-01,392636.04510023125,399334.01877036376,1904475.3791998823,279282.11863017885,276296.74311875866,4096502.282139556,860338.2138858075
2010-06-01,373388.93531525583,385340.4527526693,1814983.1439585607,265279.37043214386,262197.52261813806,3899402.871126845,806746.1722437973
2010-07-01,385308.45226264047,406783.1691034363,1909860.6657152772,277831.05410423613,270661.99763650505,4078858.7548561,831837.3788170853
2010-08-01,389372.33984983485,400595.99152327137,1884213.5029454853,268464.6084518284,267403.053606162,4014406.7756345626,805055.2506583645
2010-09-01,358811.325004737,388962.8063320238,1784026.858302226,256320.3435568525,261125.6198744167,3815290.9144916735,761610.571197761
2010-10-01,366485.0869179626,407462.7271383128,1845068.6148628835,263064.43872307974,273902.3429443937,3933366.577299363,766169.4711789616
2010-11-01,352414.0684912295,390468.0731997713,1774556.4188135485,249993.964944521,264351.1613366398,3756499.575398004,706268.3603079207
2010-12-01,352210.9219529283,384858.2060761658,1799238.2231919838,258016.57815333563,270799.4767140412,3808829.678959227,727840.2607537878
2011-01-01,341152.03814784286,376402.1313686567,1733217.6064861438,240497.51971006158,253225.28348743534,3663720.2385108415,697593.9507311456
2011-02-01,326889.1050812997,383764.9179867685,1742912.0458569832,247239.28092126513,281148.88320234296,3683033.319533058,674507.0977314953
2011-03-01,347631.8133891563,436381.3935979126,1888291.8957848602,266120.2409061944,291967.60931710346,3981099.169202911,720110.9476740425
2011-04-01,335928.4335182098,426114.6755896936,1782923.5347029907,250450.23023113376,269672.3537217838,3781474.7084529693,694034.0382300111
2011-05-01,336613.2344621471,442373.8924117097,1804680.3825424511,254202.57260717693,266440.39095284854,3813684.038290031,693204.8279471557
2011-06-01,308887.6785270559,416564.212890913,1693681.7338954143,234044.75941075553,249708.4296317725,3561644.0165545084,641333.2457895471
2011-07-01,321405.66287972615,436994.806818957,1772492.0311870857,247405.02709091734,255764.21174881727,3720371.8732386017,675667.3912736152
2011-08-01,322778.80631102447,417898.7619547811,1728835.549864581,235363.2556604757,245900.93307910155,3606211.4921333073,647586.5420883193
2011-09-01,294795.8633413568,402519.79711917066,1635620.029884365,224068.7501459911,244768.59261169334,3429360.512897768,619630.064060874
2011-10-01,302088.1165251049,416768.3269145386,1702353.0960665604,231601.4802262326,258425.95504686987,3537248.7618308864,618925.9266364694
2011-11-01,282004.83479312283,386502.40049139166,1603157.2012625574,213619.72688351333,241385.08993800895,3298777.3444143273,564473.352669862
2011-12-01,273385.1147000766,376499.58962724276,1599451.7140978563,219875.86263049915,242867.74952859804,3304080.7726165694,586416.2957403389
2012-01-01,270698.9818587621,357740.9804057845,1536498.1855438096,201961.53097125667,226991.96565871293,3158086.056118601,557707.9975798107
2012-02-01,262712.5144828764,364534.55048516835,1547181.391210274,210189.0864175646,256700.83729084805,3202529.4090553923,553540.5452488314
2012-03-01,279406.8425992186,418038.31299971946,1675827.9378549412,227187.95836572797,267859.3876486692,3462312.5867504603,594465.7911644874
2012-04-01,261257.51491071336,388017.08394813613,1557525.34608165,207395.57650898912,240512.8336526661,3204424.2795485607,548598.5285347033
2012-05-01,253001.12846013808,391302.44712587615,1566719.0293458493,203299.72848532387,231475.43748852226,3201625.44233843,548850.1444174015
2012-06-01,250194.59718292643,377148.50013518275,1505121.8573373386,200535.13144928508,220080.43094711204,3081825.790892723,527091.259551853
2012-07-01,247236.9775419458,384050.73628102924,1566556.8623985432,201423.7619119431,225596.99032861838,3148840.2832907336,519053.78305588546
2012-08-01,245240.94993767317,381630.8206610526,1545473.3184063744,195687.7837943041,229945.3365977378,3107306.4320995496,510224.5155592358
2012-09-01,222898.26090934468,354742.36024361616,1432631.020277675,183157.21928288447,211538.74594849788,2868433.514995299,469854.3221090645
2012-10-01,219400.0554603666,358232.18881140574,1427134.1932472214,180214.4041505513,213248.3409266035,2867622.5408562003,477251.7469961441
